@relation MIGEC2_BASE

@attribute BgMinorMigFreq numeric
@attribute BgMinorReadFreq numeric
@attribute MajorMigFreq numeric
@attribute MinorMigFreq numeric
@attribute MajorReadFreq numeric
@attribute MinorReadFreq numeric
@attribute class {0,1}

@data
-1.04635,-3.689003,-3.611086,-0.919121,-3.670575,-3.599343,0
-1.614181,-4.380317,-3.611086,-1.718991,-3.984003,-4.499676,0
-1.628214,-4.253042,-3.611086,-1.5429,-3.562882,-4.307398,0
-1.04582,-3.69234,-3.611086,-0.733714,-4.015286,-3.355121,0
-1.628197,-4.253001,-3.611086,-1.656843,-4.467884,-4.018905,0
-1.046267,-3.688914,-3.611086,-0.979642,-3.827929,-3.576445,0
-0.814411,-3.408696,-2.569693,-1.174923,-2.876295,-3.917296,1
-1.628197,-4.253001,-3.611086,-1.642603,-4.841,-4.401667,0
-1.046267,-3.688914,-3.611086,-1.153204,-3.619151,-3.822115,0
-1.046267,-3.688914,-3.310056,-1.260838,-3.346923,-3.962734,0
-1.046267,-3.688914,-3.310056,-1.060857,-3.420953,-3.682135,0
-1.628197,-4.253001,-3.611086,-1.554181,-3.637635,-4.318121,0
-1.046267,-3.688914,-3.133964,-1.092572,-3.430223,-3.755829,0
-1.04635,-3.689003,-3.611086,-0.985773,-3.714256,-3.672208,0
-1.614181,-4.380317,-3.611086,-1.346268,-3.53398,-4.105047,0
-1.046267,-3.688914,-3.310056,-0.880303,-3.839795,-3.357492,0
-1.628197,-4.253001,-3.611086,-1.825756,-3.461795,-4.584389,0
-1.628197,-4.253001,-3.611086,-1.437899,-3.805126,-4.024391,0
-1.628197,-4.253001,-3.611086,-1.61986,-3.589092,-4.198646,0
-1.046267,-3.688914,-3.611086,-0.960778,-3.65773,-3.600035,0
-0.91628,-3.518856,-3.611086,-1.110026,-3.213748,-3.833822,0
-1.046267,-3.688914,-3.611086,-1.064543,-4.829101,-3.709774,0
-1.614163,-4.380301,-3.611086,-1.514176,-3.777167,-4.296932,0
-1.046267,-3.688914,-3.611086,-1.115541,-3.761819,-3.681299,0
-0.814411,-3.408696,-2.569693,-1.125364,-2.876295,-3.825594,1
-0.814411,-3.408696,-2.020021,-0.99095,-2.05419,-3.558454,1
-1.628197,-4.253001,-3.310056,-1.967633,-3.728917,-4.725205,0
-1.628197,-4.253001,-3.310056,-1.948328,-3.897616,-4.734545,0
-1.045737,-3.692252,-3.611086,-1.023375,-3.881429,-3.718784,0
-1.614163,-4.380301,-3.611086,-1.546628,-3.727057,-4.332845,0
-1.046267,-3.688914,-3.310056,-1.129643,-3.220922,-3.810715,0
-1.046433,-3.689092,-3.611086,-1.131079,-3.415937,-3.794158,0
-1.614181,-4.380317,-3.310056,-1.168606,-3.394705,-3.908752,0
-1.628197,-4.253001,-3.611086,-1.88681,-3.750899,-4.673027,0
-1.045737,-3.692252,-3.310056,-1.176517,-3.461292,-3.881429,0
-0.916377,-3.518956,-3.611086,-0.77098,-3.702697,-3.421412,0
-1.769758,-4.480054,-3.611086,-1.474365,-3.801806,-4.229985,0
-1.046267,-3.688914,-3.611086,-1.160837,-3.622786,-3.83501,0
-1.046267,-3.688914,-3.310056,-1.100541,-3.179819,-3.756821,0
-1.04635,-3.689003,-3.310056,-1.078331,-3.61483,-3.737386,0
-1.6142,-4.380334,-3.611086,-1.420754,-3.555318,-4.149329,0
-1.202657,-4.169105,-2.827369,-1.214585,-2.881249,-4.439844,0
-0.413924,-3.345258,-1.982271,-0.744584,-2.157675,-3.881249,1
-1.202657,-4.169105,-2.827369,-1.146128,-2.566163,-3.608248,0
-1.347879,-4.537503,-2.827369,-1.873127,-3.991211,-5.108851,0
-1.202657,-4.169105,-2.827369,-1.128399,-3.028465,-4.033709,0
-0.586321,-3.608907,-2.827369,-0.492916,-3.245528,-3.524017,0
